Date,AAPL,CVX,GC=F,GOOGL,MSFT,XOM,^GSPC
2023-01-03,123.09602355957031,151.90130615234375,1839.699951171875,88.38946533203125,233.4528045654297,95.4342041015625,3824.139892578125
2023-01-04,124.36566925048828,150.2861328125,1852.800048828125,87.35798645019531,223.24081420898438,95.71195983886719,3852.969970703125
2023-01-05,123.04681396484375,152.99261474609375,1834.800048828125,85.49340057373047,216.6244659423828,97.85343170166016,3808.10009765625
2023-01-06,127.57421875,154.14505004882812,1864.199951171875,86.62405395507812,219.17745971679688,99.03617095947266,3895.080078125
2023-01-09,128.09584045410156,152.9402313232422,1872.699951171875,87.2984848022461,221.3114471435547,97.19038391113281,3892.090087890625
2023-01-10,128.66668701171875,153.6910400390625,1871.5999755859375,87.69519805908203,222.99720764160156,98.64191436767578,3919.25
2023-01-11,131.3831329345703,152.9576873779297,1874.5999755859375,90.76978302001953,229.74024963378906,99.78882598876953,3969.610107421875
2023-01-12,131.30438232421875,154.59898376464844,1895.5,90.38298034667969,232.41015625,101.44645690917969,3983.169921875
2023-01-13,132.63308715820312,155.01808166503906,1918.4000244140625,91.36488342285156,233.11175537109375,101.38372039794922,3999.090087890625
2023-01-17,133.7944793701172,157.5760955810547,1907.199951171875,90.54167938232422,234.20309448242188,101.18659210205078,3990.969970703125
2023-01-18,133.07598876953125,154.72994995117188,1904.4000244140625,90.37307739257812,229.7791748046875,99.10785675048828,3928.860107421875
2023-01-19,133.1350555419922,156.27525329589844,1922.0999755859375,92.2872543334961,225.99842834472656,99.7440185546875,3898.85009765625
2023-01-20,135.6940155029297,157.93402099609375,1926.4000244140625,97.21649932861328,234.0764617919922,101.56291198730469,3972.610107421875
2023-01-23,138.8828582763672,157.72451782226562,1927.0999755859375,98.97200012207031,236.37608337402344,101.0342788696289,4019.81005859375
2023-01-24,140.2804412841797,157.8729248046875,1933.9000244140625,96.89912414550781,235.84988403320312,101.97509002685547,4016.949951171875
2023-01-25,139.62103271484375,156.34510803222656,1941.199951171875,94.43946075439453,234.45645141601562,101.43749237060547,4016.219970703125
2023-01-26,141.6879119873047,163.94932556152344,1929.0999755859375,96.7206039428711,241.65745544433594,105.51433563232422,4060.429931640625
2023-01-27,143.6267547607422,156.6681365966797,1928.5999755859375,98.5554428100586,241.81336975097656,103.5879135131836,4070.56005859375
2023-01-30,140.7430419921875,152.0846405029297,1922.9000244140625,96.14535522460938,236.5027618408203,101.7510757446289,4017.77001953125
2023-01-31,142.01268005371094,151.92747497558594,1929.5,98.02977752685547,241.47232055664062,103.94631958007812,4076.60009765625
2023-02-01,143.1346893310547,149.6051788330078,1927.800048828125,99.60675048828125,246.28599548339844,102.80838775634766,4119.2099609375
2023-02-02,148.4396209716797,147.5535125732422,1916.300048828125,106.85682678222656,257.8329162597656,99.59170532226562,4179.759765625
2023-02-03,152.0615234375,147.93763732910156,1862.9000244140625,103.92108917236328,251.7427520751953,100.2816162109375,4136.47998046875
2023-02-06,149.33523559570312,148.10354614257812,1866.199951171875,102.0565185546875,250.203125,100.11138916015625,4111.080078125
2023-02-07,152.2091522216797,151.9886016845703,1871.699951171875,106.75765228271484,260.7172546386719,102.96965026855469,4164.0
2023-02-08,149.52227783203125,148.4178466796875,1877.4000244140625,98.5554428100586,259.908447265625,102.07363891601562,4117.85986328125
2023-02-09,148.48883056640625,147.05587768554688,1866.199951171875,94.23118591308594,256.8779296875,102.45893859863281,4081.5
2023-02-10,148.85354614257812,150.1377410888672,1862.800048828125,93.79478454589844,256.371337890625,106.7777099609375,4090.4599609375
2023-02-13,151.65296936035156,149.29962158203125,1851.9000244140625,93.83445739746094,264.3810729980469,106.36237335205078,4137.2900390625
2023-02-14,151.01223754882812,150.4432830810547,1854.0,93.90388488769531,265.2093505859375,105.1163558959961,4136.1298828125
2023-02-15,153.11184692382812,148.85791015625,1834.199951171875,96.14535522460938,263.0894775390625,104.80034637451172,4147.60009765625
2023-02-16,151.51499938964844,146.70887756347656,1842.0,94.72708129882812,256.0854187011719,104.49335479736328,4090.409912109375
2023-02-17,150.37152099609375,143.43243408203125,1840.4000244140625,93.57658386230469,252.08998107910156,100.47542572021484,4079.090087890625
2023-02-21,146.3596649169922,141.80299377441406,1833.0,91.0375747680664,246.82469177246094,100.3760986328125,3997.340087890625
2023-02-22,146.78350830078125,141.2305145263672,1832.0,90.89872741699219,245.6915283203125,99.07589721679688,3991.050048828125
2023-02-23,147.26651000976562,142.62213134765625,1818.0,90.14494323730469,248.87612915039062,99.98785400390625,4012.320068359375
2023-02-24,144.61497497558594,143.0448760986328,1808.800048828125,88.39938354492188,243.4545440673828,99.99686431884766,3970.0400390625
2023-02-27,145.8076629638672,143.40602111816406,1817.0,89.13331604003906,244.37278747558594,99.8163070678711,3982.239990234375
2023-02-28,145.30496215820312,141.60043334960938,1828.9000244140625,89.32176208496094,243.6498565673828,99.23843383789062,3970.14990234375
2023-03-01,143.23492431640625,142.72781372070312,1837.699951171875,89.61930084228516,240.57276916503906,100.12328338623047,3951.389892578125
2023-03-02,143.8263702392578,143.17698669433594,1833.5,91.24585723876953,245.30081176757812,100.5837631225586,3981.35009765625
2023-03-03,148.8732452392578,145.2908477783203,1847.699951171875,92.88233184814453,249.38409423828125,101.85686492919922,4045.639892578125
2023-03-06,151.63328552246094,146.35655212402344,1847.9000244140625,94.35020446777344,250.9275665283203,102.75977325439453,4048.419921875
2023-03-07,149.4351043701172,144.4717254638672,1813.9000244140625,93.09060668945312,248.2704620361328,100.77338409423828,3986.3701171875
2023-03-08,150.68698120117188,143.5557403564453,1812.699951171875,93.4774169921875,247.83084106445312,99.3016357421875,3992.010009765625
2023-03-09,148.43954467773438,141.37142944335938,1829.300048828125,91.56322479248047,246.48281860351562,98.53417205810547,3918.320068359375
2023-03-10,146.37936401367188,140.631591796875,1862.0,89.88707733154297,242.83909606933594,97.31524658203125,3861.590087890625
2023-03-13,148.32125854492188,139.78607177734375,1911.699951171875,90.36314392089844,248.04580688476562,96.19564056396484,3855.760009765625
2023-03-14,150.4109649658203,141.5916290283203,1906.199951171875,93.19969940185547,254.7568359375,96.55681610107422,3919.2900390625
